Working on networkadex.txt in Overlap_0.1_Ncube_2

Network	networkadex.txt Duplicate	0	Epoch	 20	 Train Accuracy	 0.5450	 Train AUC Score	 0.5048	 Test Accuracy: 0.5208	 test AUC Score	 0.4885	 unseen AUC Score	 0.4638
Network	networkadex.txt Duplicate	0	Epoch	 30	 Train Accuracy	 0.5926	 Train AUC Score	 0.5524	 Test Accuracy: 0.5625	 test AUC Score	 0.5132	 unseen AUC Score	 0.5062
Network	networkadex.txt Duplicate	0	Epoch	 40	 Train Accuracy	 0.5873	 Train AUC Score	 0.5881	 Test Accuracy: 0.5833	 test AUC Score	 0.5256	 unseen AUC Score	 0.5520
Network	networkadex.txt Duplicate	0	Epoch	 50	 Train Accuracy	 0.5979	 Train AUC Score	 0.6011	 Test Accuracy: 0.5833	 test AUC Score	 0.5944	 unseen AUC Score	 0.6067
Network	networkadex.txt Duplicate	0	Epoch	 60	 Train Accuracy	 0.5820	 Train AUC Score	 0.6100	 Test Accuracy: 0.5833	 test AUC Score	 0.5908	 unseen AUC Score	 0.6049
Network	networkadex.txt Duplicate	0	Epoch	 70	 Train Accuracy	 0.6243	 Train AUC Score	 0.5756	 Test Accuracy: 0.5417	 test AUC Score	 0.6085	 unseen AUC Score	 0.5891
Network	networkadex.txt Duplicate	0	Epoch	 80	 Train Accuracy	 0.5820	 Train AUC Score	 0.5894	 Test Accuracy: 0.5833	 test AUC Score	 0.5520	 unseen AUC Score	 0.5432
Network	networkadex.txt Duplicate	0	Epoch	 90	 Train Accuracy	 0.5185	 Train AUC Score	 0.5377	 Test Accuracy: 0.5417	 test AUC Score	 0.6314	 unseen AUC Score	 0.6349
Network	networkadex.txt Duplicate	0	Epoch	 100	 Train Accuracy	 0.4815	 Train AUC Score	 0.4860	 Test Accuracy: 0.5208	 test AUC Score	 0.5009	 unseen AUC Score	 0.4938

Working on networkadex.txt in Overlap_0.3_Ncube_5

Network	networkadex.txt Duplicate	0	Epoch	 0	 Train Accuracy	 0.4921	 Train AUC Score	 0.4419	 Test Accuracy: 0.5625	 test AUC Score	 0.5000	 unseen AUC Score	 0.4593
Network	networkadex.txt Duplicate	0	Epoch	 10	 Train Accuracy	 0.5661	 Train AUC Score	 0.3804	 Test Accuracy: 0.5625	 test AUC Score	 0.3926	 unseen AUC Score	 0.4704
Network	networkadex.txt Duplicate	0	Epoch	 20	 Train Accuracy	 0.4868	 Train AUC Score	 0.3792	 Test Accuracy: 0.5000	 test AUC Score	 0.4426	 unseen AUC Score	 0.4833
Network	networkadex.txt Duplicate	0	Epoch	 30	 Train Accuracy	 0.4815	 Train AUC Score	 0.3814	 Test Accuracy: 0.5208	 test AUC Score	 0.4296	 unseen AUC Score	 0.4463
Network	networkadex.txt Duplicate	0	Epoch	 40	 Train Accuracy	 0.4603	 Train AUC Score	 0.3699	 Test Accuracy: 0.5208	 test AUC Score	 0.4500	 unseen AUC Score	 0.4407
Network	networkadex.txt Duplicate	0	Epoch	 50	 Train Accuracy	 0.4180	 Train AUC Score	 0.3881	 Test Accuracy: 0.4583	 test AUC Score	 0.4315	 unseen AUC Score	 0.4500
