Network,networkaragon.txt Duplicate,0,Epoch,50, Train Accuracy,0.3874, Train AUC Score,0.3497, Test Accuracy: 0.5208, test AUC Score,0.5035, unseen AUC Score,0.5365
Network,networkaragon.txt Duplicate,0,Epoch,60, Train Accuracy,0.4921, Train AUC Score,0.4514, Test Accuracy: 0.5833, test AUC Score,0.6615, unseen AUC Score,0.6615
Network,networkaragon.txt Duplicate,0,Epoch,70, Train Accuracy,0.4974, Train AUC Score,0.4908, Test Accuracy: 0.6875, test AUC Score,0.6545, unseen AUC Score,0.6476
Network,networkaragon.txt Duplicate,0,Epoch,80, Train Accuracy,0.5131, Train AUC Score,0.4967, Test Accuracy: 0.6875, test AUC Score,0.6372, unseen AUC Score,0.6476
Network,networkaragon.txt Duplicate,0,Epoch,90, Train Accuracy,0.5131, Train AUC Score,0.4918, Test Accuracy: 0.6667, test AUC Score,0.6545, unseen AUC Score,0.651
Network,networkaragon.txt Duplicate,0,Epoch,100, Train Accuracy,0.5445, Train AUC Score,0.5087, Test Accuracy: 0.7083, test AUC Score,0.6858, unseen AUC Score,0.6806
Network,networkaeternity.txt Duplicate,0,Epoch,0, Train Accuracy,0.541, Train AUC Score,0.4556, Test Accuracy: 0.4783, test AUC Score,0.4034, unseen AUC Score,0.3674
Network,networkaeternity.txt Duplicate,0,Epoch,10, Train Accuracy,0.5683, Train AUC Score,0.554, Test Accuracy: 0.4565, test AUC Score,0.3352, unseen AUC Score,0.5
Network,networkaeternity.txt Duplicate,0,Epoch,20, Train Accuracy,0.5628, Train AUC Score,0.4955, Test Accuracy: 0.4783, test AUC Score,0.3447, unseen AUC Score,0.4811
Network,networkaeternity.txt Duplicate,0,Epoch,30, Train Accuracy,0.5628, Train AUC Score,0.4611, Test Accuracy: 0.5217, test AUC Score,0.5038, unseen AUC Score,0.5038
Network,networkaeternity.txt Duplicate,0,Epoch,40, Train Accuracy,0.5464, Train AUC Score,0.3936, Test Accuracy: 0.4783, test AUC Score,0.5379, unseen AUC Score,0.572
Network,networkaeternity.txt Duplicate,0,Epoch,50, Train Accuracy,0.5355, Train AUC Score,0.4814, Test Accuracy: 0.4783, test AUC Score,0.3845, unseen AUC Score,0.3902
Network,networkaeternity.txt Duplicate,0,Epoch,60, Train Accuracy,0.5519, Train AUC Score,0.6261, Test Accuracy: 0.4783, test AUC Score,0.4508, unseen AUC Score,0.428
Network,networkaeternity.txt Duplicate,0,Epoch,70, Train Accuracy,0.541, Train AUC Score,0.5686, Test Accuracy: 0.4783, test AUC Score,0.3864, unseen AUC Score,0.464
Network,networkaeternity.txt Duplicate,0,Epoch,80, Train Accuracy,0.5082, Train AUC Score,0.4748, Test Accuracy: 0.4348, test AUC Score,0.483, unseen AUC Score,0.4867
Network,networkaeternity.txt Duplicate,0,Epoch,90, Train Accuracy,0.5082, Train AUC Score,0.4181, Test Accuracy: 0.4348, test AUC Score,0.3939, unseen AUC Score,0.3617
Network,networkaeternity.txt Duplicate,0,Epoch,100, Train Accuracy,0.5519, Train AUC Score,0.5523, Test Accuracy: 0.4130, test AUC Score,0.4034, unseen AUC Score,0.4223
Network,networkcindicator.txt Duplicate,0,Epoch,0, Train Accuracy,0.4702, Train AUC Score,0.4558, Test Accuracy: 0.5814, test AUC Score,0.6765, unseen AUC Score,0.6516
Network,networkcindicator.txt Duplicate,0,Epoch,10, Train Accuracy,0.3869, Train AUC Score,0.2833, Test Accuracy: 0.3721, test AUC Score,0.4118, unseen AUC Score,0.3529
Network,networkcindicator.txt Duplicate,0,Epoch,20, Train Accuracy,0.494, Train AUC Score,0.3046, Test Accuracy: 0.4884, test AUC Score,0.414, unseen AUC Score,0.4118
Network,networkcindicator.txt Duplicate,0,Epoch,30, Train Accuracy,0.4286, Train AUC Score,0.2823, Test Accuracy: 0.4651, test AUC Score,0.371, unseen AUC Score,0.3869
Network,networkcindicator.txt Duplicate,0,Epoch,40, Train Accuracy,0.5179, Train AUC Score,0.3034, Test Accuracy: 0.3721, test AUC Score,0.3281, unseen AUC Score,0.2579
Network,networkcindicator.txt Duplicate,0,Epoch,50, Train Accuracy,0.4048, Train AUC Score,0.394, Test Accuracy: 0.5116, test AUC Score,0.5045, unseen AUC Score,0.4955
Network,networkcindicator.txt Duplicate,0,Epoch,60, Train Accuracy,0.4226, Train AUC Score,0.3972, Test Accuracy: 0.5349, test AUC Score,0.4186, unseen AUC Score,0.2941
Network,networkcindicator.txt Duplicate,0,Epoch,70, Train Accuracy,0.4643, Train AUC Score,0.4568, Test Accuracy: 0.5349, test AUC Score,0.5, unseen AUC Score,0.5204
Network,networkcindicator.txt Duplicate,0,Epoch,80, Train Accuracy,0.5298, Train AUC Score,0.4281, Test Accuracy: 0.3023, test AUC Score,0.2262, unseen AUC Score,0.2262
Network,networkcindicator.txt Duplicate,0,Epoch,90, Train Accuracy,0.4583, Train AUC Score,0.3889, Test Accuracy: 0.3953, test AUC Score,0.3778, unseen AUC Score,0.3824
Network,networkcindicator.txt Duplicate,0,Epoch,100, Train Accuracy,0.5119, Train AUC Score,0.4822, Test Accuracy: 0.4884, test AUC Score,0.4434, unseen AUC Score,0.4548
Network,networkcentra.txt Duplicate,0,Epoch,0, Train Accuracy,0.5433, Train AUC Score,0.5973, Test Accuracy: 0.4340, test AUC Score,0.5493, unseen AUC Score,0.5594
Network,networkcentra.txt Duplicate,0,Epoch,10, Train Accuracy,0.4327, Train AUC Score,0.398, Test Accuracy: 0.3585, test AUC Score,0.4087, unseen AUC Score,0.4362
Network,networkcentra.txt Duplicate,0,Epoch,20, Train Accuracy,0.5096, Train AUC Score,0.5043, Test Accuracy: 0.4528, test AUC Score,0.4188, unseen AUC Score,0.4
Network,networkcentra.txt Duplicate,0,Epoch,30, Train Accuracy,0.4712, Train AUC Score,0.4561, Test Accuracy: 0.3962, test AUC Score,0.4464, unseen AUC Score,0.4348
Network,networkcentra.txt Duplicate,0,Epoch,40, Train Accuracy,0.4567, Train AUC Score,0.3884, Test Accuracy: 0.4151, test AUC Score,0.4145, unseen AUC Score,0.4449
Network,networkcentra.txt Duplicate,0,Epoch,50, Train Accuracy,0.4567, Train AUC Score,0.4544, Test Accuracy: 0.4340, test AUC Score,0.513, unseen AUC Score,0.5174
Network,networkcentra.txt Duplicate,0,Epoch,60, Train Accuracy,0.4471, Train AUC Score,0.4393, Test Accuracy: 0.5094, test AUC Score,0.4754, unseen AUC Score,0.471
Network,networkcentra.txt Duplicate,0,Epoch,70, Train Accuracy,0.4712, Train AUC Score,0.4023, Test Accuracy: 0.5094, test AUC Score,0.4522, unseen AUC Score,0.4406
Network,networkcentra.txt Duplicate,0,Epoch,80, Train Accuracy,0.4663, Train AUC Score,0.4428, Test Accuracy: 0.4340, test AUC Score,0.4435, unseen AUC Score,0.442
Network,networkcentra.txt Duplicate,0,Epoch,90, Train Accuracy,0.4519, Train AUC Score,0.4066, Test Accuracy: 0.5094, test AUC Score,0.4855, unseen AUC Score,0.4942
Network,networkcentra.txt Duplicate,0,Epoch,100, Train Accuracy,0.4856, Train AUC Score,0.4579, Test Accuracy: 0.4151, test AUC Score,0.4826, unseen AUC Score,0.4638
Network,networkaion.txt Duplicate,0,Epoch,0, Train Accuracy,0.4868, Train AUC Score,0.4242, Test Accuracy: 0.4737, test AUC Score,0.3855, unseen AUC Score,0.4087
Network,networkaion.txt Duplicate,0,Epoch,10, Train Accuracy,0.5, Train AUC Score,0.5598, Test Accuracy: 0.4211, test AUC Score,0.4899, unseen AUC Score,0.5913
Network,networkaion.txt Duplicate,0,Epoch,20, Train Accuracy,0.5, Train AUC Score,0.5077, Test Accuracy: 0.4474, test AUC Score,0.4609, unseen AUC Score,0.3594
Network,networkaion.txt Duplicate,0,Epoch,30, Train Accuracy,0.5461, Train AUC Score,0.5245, Test Accuracy: 0.5263, test AUC Score,0.5942, unseen AUC Score,0.5275
Network,networkaion.txt Duplicate,0,Epoch,40, Train Accuracy,0.5263, Train AUC Score,0.5354, Test Accuracy: 0.5263, test AUC Score,0.6986, unseen AUC Score,0.6957
Network,networkaion.txt Duplicate,0,Epoch,50, Train Accuracy,0.5197, Train AUC Score,0.5143, Test Accuracy: 0.4474, test AUC Score,0.5826, unseen AUC Score,0.4783
Network,networkaion.txt Duplicate,0,Epoch,60, Train Accuracy,0.5461, Train AUC Score,0.5022, Test Accuracy: 0.5526, test AUC Score,0.5507, unseen AUC Score,0.5971
Network,networkaion.txt Duplicate,0,Epoch,70, Train Accuracy,0.4671, Train AUC Score,0.4982, Test Accuracy: 0.6316, test AUC Score,0.6464, unseen AUC Score,0.6638
Network,networkaion.txt Duplicate,0,Epoch,80, Train Accuracy,0.5658, Train AUC Score,0.542, Test Accuracy: 0.5000, test AUC Score,0.5188, unseen AUC Score,0.571
Network,networkaion.txt Duplicate,0,Epoch,90, Train Accuracy,0.5132, Train AUC Score,0.5124, Test Accuracy: 0.4737, test AUC Score,0.6319, unseen AUC Score,0.6261
Network,networkaion.txt Duplicate,0,Epoch,100, Train Accuracy,0.5526, Train AUC Score,0.5784, Test Accuracy: 0.4211, test AUC Score,0.5739, unseen AUC Score,0.5623
